,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
26,Poland,4532,+119,111.0,4.0,191.0,4230,50.0,120.0,3.0,85467.0,2258.0,37847000.0,51.919438,19.145135999999997,0.011974529024757577,4.2144748455428065,93.33627537511032,2.4492497793468666
27,Romania,4057,0,176.0,0,406.0,3475,179.0,211.0,9.0,40987.0,2131.0,19238000.0,45.943160999999996,24.96676,0.02108847073500364,10.007394626571358,85.65442445156519,4.3381809218634455
28,Japan,3906,0,92.0,0,592.0,3222,79.0,31.0,0.7,46172.0,365.0,126476000.0,36.204824,138.252924,0.003088332964356874,15.156169994879672,82.48847926267281,2.355350742447517
29,Pakistan,3864,+98,54.0,1.0,429.0,3381,28.0,17.0,0.2,39183.0,177.0,220892000.0,30.375321000000003,69.345116,0.001749271137026239,11.102484472049689,87.5,1.3975155279503106
30,Malaysia,3793,0,62.0,0,1241.0,2490,102.0,117.0,2.0,55566.0,1717.0,32366000.0,4.210483999999999,101.97576600000001,0.011719087931780264,32.71816504086475,65.6472449248616,1.6345900342736621
31,Ecuador,3747,0,191.0,0,100.0,3456,156.0,212.0,11.0,13039.0,739.0,17643000.0,-1.8312389999999998,-78.183406,0.021237884713484104,2.6688017080330932,92.2337870296237,5.097411262343208
32,Philippines,3660,0,163.0,0,73.0,3424,1.0,33.0,1.0,22958.0,210.0,109581000.0,12.879721,121.77401699999999,0.003339995072138418,1.994535519125683,93.55191256830601,4.453551912568305
33,Luxembourg,2843,0,41.0,0,500.0,2302,33.0,4542.0,65.0,24291.0,38805.0,626000.0,49.815273,6.129583,0.4541533546325879,17.58705592683785,80.97080548716144,1.4421385860007034
34,Saudi Arabia,2752,+147,38.0,0,551.0,2163,41.0,79.0,1.0,0,0,34814000.0,23.885942,45.079162,0.007904865858562647,20.021802325581394,78.59738372093024,1.380813953488372
35,Peru,2561,0,92.0,0,997.0,1472,89.0,78.0,3.0,20414.0,619.0,32972000.0,-9.189967,-75.015152,0.007767196409074366,38.930105427567355,57.47754783287778,3.5923467395548614
36,Indonesia,2491,0,209.0,0,192.0,2090,0,9.0,0.8,13186.0,48.0,273524000.0,-0.789275,113.921327,0.0009107061903160235,7.707747892412686,83.90204737053392,8.390204737053391
37,Mexico,2439,+296,125.0,31.0,633.0,1681,89.0,19.0,1.0,20475.0,159.0,128933000.0,23.634501,-102.552784,0.0018916801749745992,25.953259532595325,68.92168921689216,5.125051250512505
38,Finland,2308,+132,27.0,0,300.0,1981,81.0,417.0,5.0,32800.0,5920.0,5541000.0,61.92411,25.748151,0.041653131203753836,12.99826689774697,85.8318890814558,1.1698440207972272
39,Thailand,2258,+38,27.0,1.0,824.0,1407,30.0,32.0,0.4,25071.0,359.0,69800000.0,15.870032,100.992541,0.003234957020057307,36.49247121346324,62.311780336581045,1.1957484499557132
40,Serbia,2200,0,58.0,0,118.0,2024,101.0,252.0,7.0,8552.0,979.0,8737000.0,44.016521000000004,21.005859,0.02518026782648506,5.363636363636363,92.0,2.6363636363636362
41,Panama,2100,0,55.0,0,14.0,2031,88.0,487.0,13.0,10297.0,2386.0,4315000.0,8.537981,-80.782127,0.04866743916570104,0.6666666666666667,96.71428571428572,2.619047619047619
42,UAE,2076,0,11.0,0,167.0,1898,1.0,210.0,1.0,220000.0,22244.0,9890000.0,23.424076,53.847818000000004,0.020990899898887763,8.044315992292871,91.42581888246627,0.5298651252408477
43,Qatar,1832,0,4.0,0,131.0,1697,37.0,636.0,1.0,38108.0,13227.0,2881000.0,25.354826,51.183884,0.06358903158625477,7.150655021834061,92.63100436681223,0.21834061135371177
44,Dominican Republic,1828,0,86.0,0,33.0,1709,147.0,169.0,8.0,4542.0,419.0,10848000.0,18.735692999999998,-70.162651,0.01685103244837758,1.8052516411378556,93.49015317286651,4.704595185995624
45,Greece,1755,0,79.0,0,269.0,1407,90.0,168.0,8.0,26193.0,2513.0,10423000.0,39.074208,21.824312,0.01683776264031469,15.327635327635328,80.17094017094017,4.501424501424502
46,South Africa,1686,0,12.0,0,95.0,1579,7.0,28.0,0.2,58098.0,980.0,59309000.0,-30.559482,22.937506,0.0028427388760559106,5.634638196915777,93.65361803084224,0.7117437722419928
47,Argentina,1628,0,53.0,0,325.0,1250,94.0,36.0,1.0,10709.0,237.0,45196000.0,-38.416097,-63.616671999999994,0.0036020886804141957,19.963144963144963,76.78132678132678,3.2555282555282554
48,Colombia,1579,0,46.0,0,88.0,1445,50.0,31.0,0.9,27685.0,544.0,50883000.0,4.570868,-74.297333,0.0031031975315920835,5.573147561747942,91.5136162127929,2.9132362254591513
49,Iceland,1562,0,6.0,0,460.0,1096,11.0,4577.0,18.0,27880.0,81701.0,341000.0,64.96305100000001,-19.020835,0.45806451612903226,29.449423815621,70.16645326504481,0.3841229193341869
50,Ukraine,1462,+143,45.0,7.0,28.0,1389,16.0,33.0,1.0,6385.0,146.0,43734000.0,48.379433,31.16558,0.003342936845474917,1.915184678522572,95.00683994528045,3.0779753761969904
51,Algeria,1423,0,173.0,0,90.0,1160,46.0,32.0,4.0,3359.0,77.0,43851000.0,28.033886,1.6596259999999998,0.0032450799297621493,6.324666198172873,81.51791988756149,12.157413914265636
52,Singapore,1375,0,6.0,0,344.0,1025,25.0,235.0,1.0,65000.0,11110.0,5850000.0,1.352083,103.819836,0.023504273504273504,25.018181818181816,74.54545454545455,0.4363636363636364
53,Egypt,1322,0,85.0,0,259.0,978,0,13.0,0.8,25000.0,244.0,102334000.0,26.820553000000004,30.802497999999996,0.0012918482615748431,19.591527987897127,73.97881996974282,6.429652042360061
54,Croatia,1222,0,16.0,0,130.0,1076,36.0,298.0,4.0,11464.0,2793.0,4105000.0,45.1,15.2,0.029768574908647993,10.638297872340425,88.05237315875614,1.309328968903437
55,New Zealand,1160,+54,1.0,0,241.0,918,14.0,241.0,0.2,42826.0,8881.0,4822000.0,-40.900557,174.88597099999998,0.024056408129406886,20.775862068965516,79.13793103448276,0.08620689655172414
56,Morocco,1141,+21,83.0,3.0,88.0,970,1.0,31.0,2.0,5272.0,143.0,36911000.0,31.791702,-7.09262,0.003091219419685189,7.712532865907098,85.0131463628396,7.274320771253287
57,Estonia,1108,0,19.0,0,62.0,1027,14.0,835.0,14.0,21866.0,16484.0,1327000.0,58.595271999999994,25.013607,0.08349660889223813,5.595667870036101,92.68953068592057,1.7148014440433215
58,Iraq,1031,0,64.0,0,344.0,623,0,26.0,2.0,0,0,40223000.0,33.223191,43.679291,0.0025632101036720287,33.365664403491756,60.42677012609118,6.207565470417071
59,Slovenia,1021,0,30.0,0,102.0,889,30.0,491.0,14.0,28253.0,13590.0,2079000.0,46.151241,14.995463,0.04911014911014912,9.990205680705191,87.07149853085211,2.9382957884427032
